workload,phase,block,rep,binary,wall_ms,peak_rss_kib,output_sha256
wide_scopes,AA,2,1,A,246.496601,19996,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,AA,2,2,A,234.832244,19924,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,AA,3,1,A,237.827238,19960,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,AA,3,2,A,245.565362,19928,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,AA,4,1,A,247.327734,19956,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,AA,4,2,A,247.495877,19964,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,AA,5,1,A,240.954084,19956,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,AA,5,2,A,234.079208,19964,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,AA,6,1,A,238.978243,19916,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,AA,6,2,A,240.403699,19996,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,1,1,A,245.105704,19960,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,1,2,B,147.329092,18088,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,1,3,B,141.210448,18028,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,1,4,A,232.278373,19872,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,2,1,A,236.518264,19984,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,2,2,B,142.746076,18008,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,2,3,B,141.340487,18040,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,2,4,A,235.603560,19960,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,3,1,A,249.460265,19932,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,3,2,B,146.782119,18068,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,3,3,B,145.486929,18032,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,3,4,A,245.621080,19980,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,4,1,A,234.871391,19956,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,4,2,B,149.825342,18048,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,4,3,B,142.173812,18072,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,4,4,A,239.286564,19900,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,5,1,A,244.185124,19740,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,5,2,B,144.145913,17992,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,5,3,B,143.868219,17876,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,5,4,A,244.150218,19712,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,6,1,A,231.878644,19744,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,6,2,B,142.089106,18076,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,6,3,B,143.218914,18020,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
wide_scopes,ABBA,6,4,A,237.181615,19960,4845a185cb94e7e9842acac527075d05ce42bacb380f1b172aec9f019c84cc51
